Year,Series Name,Country,Abbreviation,Unemployment.ILO,Unemployment.HighEdu,Inflation.Consumer.Rate,Misery.Rate
1960,1960 [YR1960],Iran,IRN,,,9.82241081297867,
1961,1961 [YR1961],Iran,IRN,,,3.16256439585745,
1962,1962 [YR1962],Iran,IRN,,,0.721320571656337,
1963,1963 [YR1963],Iran,IRN,,,0.371849607221666,
1964,1964 [YR1964],Iran,IRN,,,3.81448957223043,
1965,1965 [YR1965],Iran,IRN,,,2.15437483520967,
1966,1966 [YR1966],Iran,IRN,,,-0.388148532154432,
1967,1967 [YR1967],Iran,IRN,,,1.59761007964354,
1968,1968 [YR1968],Iran,IRN,,,0.690360521996233,
1969,1969 [YR1969],Iran,IRN,,,3.59319451551281,
1970,1970 [YR1970],Iran,IRN,,,1.66687093970068,
1971,1971 [YR1971],Iran,IRN,,,4.19529837265423,
1972,1972 [YR1972],Iran,IRN,,,6.39824135128871,
1973,1973 [YR1973],Iran,IRN,,,9.81948673318762,
1974,1974 [YR1974],Iran,IRN,,,14.2489355382567,
1975,1975 [YR1975],Iran,IRN,,,12.8791818338341,
1976,1976 [YR1976],Iran,IRN,,,11.2561425062111,
1977,1977 [YR1977],Iran,IRN,,,27.2877846793093,
1978,1978 [YR1978],Iran,IRN,,,11.7219692041212,
1979,1979 [YR1979],Iran,IRN,,,10.4872367273486,
1980,1980 [YR1980],Iran,IRN,,,20.6439144373798,
1981,1981 [YR1981],Iran,IRN,,,24.2035897624486,
1982,1982 [YR1982],Iran,IRN,,,18.6897259269564,
1983,1983 [YR1983],Iran,IRN,,,19.7401891778611,
1984,1984 [YR1984],Iran,IRN,,,12.5402194538868,
1985,1985 [YR1985],Iran,IRN,,,4.38934095741541,
1986,1986 [YR1986],Iran,IRN,,,18.4290030211474,
1987,1987 [YR1987],Iran,IRN,,,28.5714285714292,
1988,1988 [YR1988],Iran,IRN,,,28.6706349206345,
1989,1989 [YR1989],Iran,IRN,,,22.3496530454896,
1990,1990 [YR1990],Iran,IRN,,,7.62767493763934,
1991,1991 [YR1991],Iran,IRN,11.1,,17.1285679434012,28.2285679434012
1992,1992 [YR1992],Iran,IRN,10.653,,25.8077226162332,36.4607226162332
1993,1993 [YR1993],Iran,IRN,10.573,,21.2026307547761,31.7756307547761
1994,1994 [YR1994],Iran,IRN,10.458,,31.4470284237728,41.9050284237728
1995,1995 [YR1995],Iran,IRN,9.904,,49.6559858462746,59.5599858462746
1996,1996 [YR1996],Iran,IRN,9.1,,28.9373440168137,38.0373440168137
1997,1997 [YR1997],Iran,IRN,9.68,,17.3492257538708,27.0292257538708
1998,1998 [YR1998],Iran,IRN,10.358,,17.8661342130398,28.2241342130398
1999,1999 [YR1999],Iran,IRN,11.176,,20.0707078146866,31.2467078146866
2000,2000 [YR2000],Iran,IRN,11.698,,14.4767513188567,26.1747513188567
2001,2001 [YR2001],Iran,IRN,12.362,,11.2742471332117,23.6362471332117
2002,2002 [YR2002],Iran,IRN,12.8,,14.3359337378404,27.1359337378404
2003,2003 [YR2003],Iran,IRN,11.529,,16.4680116244792,27.9970116244792
2004,2004 [YR2004],Iran,IRN,10.3,,14.7615086970672,25.0615086970672
2005,2005 [YR2005],Iran,IRN,11.813,12.062,13.433118008508,25.246118008508
2006,2006 [YR2006],Iran,IRN,11.519,12.705,10.0158982511924,21.5348982511924
2007,2007 [YR2007],Iran,IRN,10.772,12.206,17.3410404624277,28.1130404624277
2008,2008 [YR2008],Iran,IRN,10.63,11.969,25.4105090311987,36.0405090311987
2009,2009 [YR2009],Iran,IRN,12.113,14.389,13.5515548281506,25.6645548281506
2010,2010 [YR2010],Iran,IRN,13.679,16.36,10.0893629287979,23.7683629287979
2011,2011 [YR2011],Iran,IRN,12.491,14.1,26.2933856738608,38.7843856738608
2012,2012 [YR2012],Iran,IRN,12.275,13.8,27.2568127242908,39.5318127242908
2013,2013 [YR2013],Iran,IRN,10.595,11.689,36.6030355191029,47.1980355191029
2014,2014 [YR2014],Iran,IRN,10.68,12.259,16.6065532357449,27.2865532357449
2015,2015 [YR2015],Iran,IRN,11.166,11.719,12.4846815611533,23.6506815611533
2016,2016 [YR2016],Iran,IRN,12.618,13.687,7.24542548952979,19.8634254895298
2017,2017 [YR2017],Iran,IRN,12.232,13.616,8.04492437660278,20.2769243766028
2018,2018 [YR2018],Iran,IRN,12.195,18.4,18.0141183371874,30.2091183371874
2019,2019 [YR2019],Iran,IRN,10.74,16.942,39.9073455697784,50.6473455697784
2020,2020 [YR2020],Iran,IRN,9.687,14.355,30.5941390387295,40.2811390387295
2021,2021 [YR2021],Iran,IRN,9.282,13.772,43.3890162681514,52.6710162681514
2022,2022 [YR2022],Iran,IRN,9.085,12.95,43.4884641742179,52.5734641742179
2023,2023 [YR2023],Iran,IRN,8.129,11.868,44.5791857572797,52.7081857572797
2024,2024 [YR2024],Iran,IRN,8.146,11.258,32.455871402917,40.601871402917
2025,2025 [YR2025],Iran,IRN,8.301,,,